German,English
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,How
noch,still
dir,you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,dem
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,just
doch,but
gut,good
meine,mine
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,have
machen,make
vor,before
Mann,Man
ihm,him
einem,a
tun,do
zum,for the
können,can
sagen,say
werde,become
denn,because
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,all
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,should
Da,There
hatte,had
Hier,Here
wissen,knowledge
bitte,please
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,Come
Wer,Who
zurück,back
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N/a
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,so
zur,to
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
weg,away
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Well
gerade,straight
Alles,Everything
glaube,believe
Tag,Day
ab,away
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,want
wirst,become
gehört,heard
weißt,white
Keine,No
raus,out
Meine,Mine
paar,couple
besser,better
ob,if
her,from
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,long
Lass,Let
dieses,this
helfen,help
unsere,our
Weg,Away
selbst,himself
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,Oh
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,into the
hin,there
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,yours
leid,sorrow
Wieso,How come
dort,there
Als,As
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Listening
machst,do
Freund,Friend
richtig,correct
Angst,Fear
Bist,Are
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,whole
